Blog	months	soon	does	put	times	coming	hours	same	nice	family	once	able	yes	yet	whole	live	give	try	man	bad	morning	wanted	full	without	job	play	friend	someone	least	ago	told	making	together	doesn	believe	far	past	during	might	free	music	makes	point	later	keep	nbsp	already	beautiful	its	stop	until	quite	saw	different	kids	stuff	thanks	room	remember	read	crazy	watch	side	girl	almost	picture	kind	person	call	heart	weeks	mean	taking	won	guess	name	nothing	mind	called	working	small	amazing	change	real	used	head	hear	decided	happened	wait	book	sometimes	hand	set	fact	check	asked	three	children	must	story	wasn	run	isn	behind	leave	open	car	seen	seems	summer	wrong	couple	video	month	pictures	lost	goes	else	idea	god	use	high	trip	baby	stay	amp	half	excited	face	talk	knew	mom	song	boy	short	gone	reading	looks	top	cool	thinking	living	yesterday	playing	party	weekend	interesting	felt	late	moment	spent	money	watching	second	along	haven	probably	saying	lots	turned	hour	funny	comes	anyway	christmas	care	wish	under	instead	couldn	thank	water	words	special	gave	fall	enjoy	rest	running	birthday	white	waiting	ones	feeling	ended	wonder	turn	food	black	talking	awesome	city	heard	happen	between	anyone	eyes	gets	hot	busy	learn	guy	ask	girls	inside	loved	boys	favorite	write	tried	whatever	group	especially	please	needed	perfect	close	however	dinner	sweet	cold	moved	sunday	move	reason	ready	knows	walk	break	early	dad	says	tonight	tomorrow	list	rather	possible	seeing	cute	fast	four	young	true	taken	wonderful	hands	either	outside	miss	definitely	super	others	loves	sleep	moving	parents	sorry	hair	saturday	town	bring	means	important	class	easy	sad	age	front	line	com	bed	matter	guys	totally	spend	looked	country	worked	body	game	seem	less	chance	share	often	phone	writing	hit	wants	experience	huge	worth	update	yeah	lives	news	bought	buy	woman	due	usually	park	although	light	played	movie	sound	needs	self	listen	child	sister	starting	minutes	project	church	band	enjoyed	eat	kid	mother	etc	event	women	seriously	company	become	american	cause	met	across	entire	future	imagine	number	plan	red	several	mine	against	walking	wouldn	five	facebook	feels	meet	visit	sitting	case	friday	shows	forward	hate	air	completely	rock	single	given	word	yourself	ride	final	exactly	fine	sort	longer	quick	door	books	problem	men	deal	joy	date	pick	sense	kept	store	understand	center	random	table	large	photo	album	cannot	lol	takes	dream	sounds	finished	stand	glad	sit	alone	business	state	piece	minute	realized	using	http	father	cut	blue	hopefully	stuck	proud	version	okay	april	weather	walked	giving	works	songs	support	death	spring	within	based	street	simple	july	wall	brought	note	upon	dance	answer	forget	serious	brother	ways	passed	paper	evening	telling	afternoon	figure	wrote	leaving	finish	middle	recently	sign	dark	hey	gonna	meant	beach	forever	listening	quickly	complete	hoping	building	headed	normal	pay	road	view	following	watched	lately	born	turns	learned	camera	august	beginning	happens	team	information	sent	stage	lady	strong	march	halloween	www	themselves	drive	october	site	dog	games	plus	known	tired	hold	smile	currently	monday	office	learning	eating	track	catch
Keepin' up with the Jones'	5	0	1	2	5	3	4	4	12	29	0	13	4	1	7	9	3	6	1	5	9	6	3	5	12	3	2	1	0	5	8	3	2	1	0	5	1	4	9	2	0	1	4	4	3	492	0	23	9	2	1	3	6	5	13	3	3	2	5	0	10	10	3	1	5	7	1	1	7	2	4	3	1	2	5	4	1	0	1	3	6	8	1	2	3	4	3	9	3	2	4	2	0	0	1	5	2	2	3	1	1	3	4	0	2	6	3	4	0	2	4	2	0	0	23	18	0	0	0	0	0	3	8	17	2	3	2	2	5	2	2	2	19	0	1	4	1	2	0	12	7	2	3	0	5	1	5	0	5	0	0	11	2	5	3	5	1	2	1	10	1	3	2	1	2	13	4	1	1	3	4	1	2	1	0	4	3	13	6	4	21	1	7	2	3	3	1	5	4	0	2	3	5	0	0	2	1	0	5	4	8	2	1	0	14	2	4	5	6	3	5	0	4	9	0	4	1	2	5	23	4	2	5	4	6	4	5	2	7	11	1	6	0	0	0	0	0	3	3	12	2	0	3	0	1	7	0	1	3	1	2	4	5	1	0	0	15	0	0	3	6	1	1	1	9	1	3	3	1	1	0	1	1	1	3	8	3	0	3	1	9	0	3	3	2	0	1	1	2	0	0	3	2	1	0	2	4	1	0	0	0	2	3	0	1	1	9	1	0	2	0	2	3	0	1	1	5	0	18	4	3	0	3	0	4	3	0	1	2	1	6	1	0	2	1	1	3	1	0	0	0	1	0	5	0	0	4	5	2	0	1	0	1	1	1	0	1	0	5	0	0	3	2	2	0	0	0	2	1	0	1	0	1	1	1	0	1	4	0	1	5	2	1	5	1	0	2	0	0	0	0	2	2	5	0	0	2	1	0	2	3	1	0	0	0	0	3	2	2	0	2	1	8	4	1	1	0	2	0	5	1	0	7	0	8	0	3	0	0	0	1	0	1	8	1	2	0	1	1	0	0	3	1	0	0	0	0	0	0	0	0	40	1	0	1	0	1	1	20	2	1	0	3	0	4	2	1	0	11	1	8	1	1	0	2	1	1	2	0	1	2	0	0	2	1	0	0	3	0	0	0	1	0	0	1	0	1	2	1	4
Colours of my Heart	3	1	0	1	0	0	1	1	2	1	0	1	1	0	2	1	1	2	0	0	0	0	1	0	0	1	0	0	1	1	0	7	0	0	0	0	0	2	1	1	1	0	0	0	1	0	3	0	13	0	0	2	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	2	0	1	0	0	1	0	2	0	0	2	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	8	0	1	0	0	1	0	0	0	1	1	1	0	0	0	1	2	0	3	0	1	0	0	0	0	0	3	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	4	1	0	2	0	0	1	0	0	3	0	0	4	0	1	1	0	1	0	2	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3	1	2	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	4	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
*.Emiline & Krisline~	3	1	1	2	0	0	2	1	0	0	1	2	0	1	3	0	0	0	0	1	2	1	1	4	0	1	17	1	1	1	1	1	1	0	0	0	0	3	1	0	0	1	1	2	2	0	0	0	9	2	0	1	3	1	0	0	2	0	0	0	0	2	1	0	0	1	1	1	1	5	1	1	1	0	0	0	1	2	0	0	0	1	1	2	1	1	0	0	1	0	0	0	2	0	1	0	2	0	1	5	0	0	1	0	2	3	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	3	0	0	0	0	0	1	1	2	1	2	1	1	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	2	2	1	0	0	0	0	0	1	5	0	3	2	1	1	2	0	1	0	0	1	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	3	0	0	0	2	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	3	2	0	2	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	8	0	0	1	2	0	1	0	0	0	0	2	3	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	1	2	0	2	2	1	0	3	0	1	0	0	1	0	0	1	1	0	1	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	3	0	0
Ferguson Family	0	0	0	1	0	1	0	1	5	6	1	2	1	2	3	0	0	0	3	1	4	0	0	1	2	4	1	0	0	3	1	2	0	1	2	3	1	4	0	0	0	1	0	2	0	0	1	4	1	0	0	2	4	1	14	0	4	1	1	0	0	0	2	1	0	6	0	0	0	1	3	0	2	0	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	1	0	2	0	2	0	0	0	0	0	1	1	5	0	1	10	0	0	0	0	0	0	1	4	0	0	0	0	1	1	1	0	6	0	0	0	0	0	1	1	5	0	0	1	1	3	1	0	1	1	0	4	0	0	1	0	0	0	0	1	0	0	0	0	1	11	0	0	0	0	1	0	3	0	0	0	1	1	0	1	6	0	2	0	0	2	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	1	1	2	0	1	3	2	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	2	0	0	3	0	0	0	0	0	0	0	1	0	0	2	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	1	1	1	0	0	0	2	0	0	1	0	1	0	1	0	0	3	1	0	0	0	1	0	3	0	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	2	1	0	0	0	1	1	1	1	0	3	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	1	1	0	2	2	0	1	0	0	0	0	0	0	0	0	2	0	0	5	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	1
THE MARTINSEN FAMILY	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	2	0	0	0	0	0	1	0	0	6	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Reaktor Tips	0	1	1	1	1	1	1	3	0	0	0	0	0	0	3	8	1	1	0	0	0	2	1	1	1	3	1	0	0	0	1	3	1	3	0	2	0	0	5	7	12	4	0	5	1	6	4	0	16	2	0	0	2	4	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	1	1	2	1	3	1	1	0	1	3	0	8	0	2	1	1	0	0	1	0	9	0	3	0	4	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	16	0	0	0	1	2	1	0	15	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	4	5	1	0	0	3	0	2	4	0	0	0	0	0	0	2	2	1	0	0	0	2	0	0	1	0	0	1	0	5	0	1	0	0	1	1	0	1	2	2	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	1	6	2	0	1	0	0	0	0	0	0	3	0	0	0	2	4	2	0	2	1	0	0	0	2	0	0	0	1	0	0	1	0	0	0	1	0	0	7	0	0	0	3	0	0	0	2	0	0	0	0	3	0	2	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	0	0	4	0	0	0	2	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	6	0	1	0	0	0	0	0	0	4	0	0	0	0	1	0	1	1	0	0	2	0	1	1	0	3	0	0	0	2	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	4	0	6	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	1	0	4	0	0	0	0	1	2	0	0	0	0	0	7	0	4	0	0	0	29	0	0	1	0	0	1	2	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	1	0	5	0	1	1	0	0	2	0	0	0	0	0	0	0	0
Durward Discussion	0	0	2	0	1	3	1	1	1	0	2	0	2	3	0	4	12	0	9	2	3	0	1	1	0	0	8	2	2	1	0	2	0	2	2	1	1	0	0	0	6	1	1	1	0	102	0	2	1	0	1	1	0	0	0	1	0	0	10	0	1	1	0	2	1	1	1	2	1	1	0	2	0	0	0	2	1	1	0	0	0	1	0	1	1	0	2	0	0	0	1	1	3	2	2	1	1	0	1	2	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	1	2	1	1	0	1	0	0	0	0	0	1	0	0	4	0	0	0	9	1	0	0	1	2	0	0	0	1	0	1	1	1	1	0	0	1	0	3	1	1	0	0	0	8	0	0	1	1	1	0	0	1	1	3	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	1	2	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	2	0	1	1	10	0	0	0	0	0	0	0	0	2	0	1	0	1	2	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	3	0	1	1	0	1	0	1	0	1	0	0	1	0	0	3	0	1	0	2	2	0	1	0	4	1	2	0	0	2	1	2	0	0	3	0	2	0	1	1	11	7	0	0	0	2	0	0	0	1	0	0	1	1	0	0	3	1	1	0	0	0	0	4	1	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	1	5	0	0	3	2	0	0	2	0	1	0	2	0	0	1	0	0	0	0	9	3	0	0	5	0	0	13	2	0	0	0	1	0	1	1	1	2	0	0	0	0	1	0	0	0	0	1	3	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	3	1	0	2	0	0	2	6	0	2	0	0	0	1	0	0	0	1	0	0	0	1	0	6	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	3	0	1	3	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Pottymomma says...	5	2	4	11	14	2	5	6	4	6	5	2	11	4	4	17	3	5	4	4	6	8	4	6	22	4	3	19	0	1	13	7	3	12	5	2	5	1	1	4	2	2	5	3	8	0	3	0	10	5	7	4	2	4	58	4	0	5	6	1	2	1	4	0	3	3	7	15	4	4	2	6	6	4	2	3	4	5	3	1	3	3	2	4	3	7	6	4	6	7	2	14	6	1	4	2	5	2	12	3	2	2	3	3	2	4	2	5	5	1	2	1	4	0	2	1	0	2	5	3	3	3	0	1	9	2	0	3	4	5	2	3	11	1	1	2	3	3	3	0	4	2	5	1	1	0	4	2	3	0	7	2	0	2	4	1	3	4	5	2	1	1	0	1	5	5	7	9	2	3	7	3	2	2	1	1	2	2	2	3	2	1	2	4	7	1	1	3	3	0	4	2	1	1	5	2	2	3	6	4	2	3	1	6	1	1	4	0	1	10	2	3	1	2	7	2	1	0	2	5	2	1	3	0	6	0	1	0	6	2	1	43	2	3	1	0	0	9	1	0	4	8	1	1	2	6	1	4	1	11	4	3	0	6	3	6	2	1	3	2	2	2	3	4	1	4	2	0	1	1	0	8	7	0	1	7	4	0	2	7	0	0	4	1	0	4	3	4	3	1	3	0	2	1	6	5	0	1	1	0	0	0	0	0	1	1	1	1	2	0	0	8	1	0	3	0	2	2	0	2	5	5	2	3	0	1	0	1	0	1	2	2	4	4	1	3	1	0	0	1	1	1	1	0	1	3	1	3	1	0	1	0	3	4	2	1	0	8	1	0	3	0	1	0	2	0	4	1	0	0	0	1	0	2	7	0	2	2	0	2	0	1	0	0	0	0	0	0	1	1	5	1	4	0	4	3	1	3	0	5	2	0	0	3	3	0	0	0	2	0	0	0	0	3	1	2	0	0	3	1	3	0	0	1	3	0	0	0	0	0	1	1	2	1	0	0	2	1	5	1	1	4	3	1	0	1	1	3	1	2	2	3	3	1	0	0	0	0	0	4	2	2	0	1	0	0	2	1	0	0	1	1	5	0	0	3	0	0	0	0	0	0	4	2	4	25	2	2	0	1	1	2	2	0	1	0	0	0	2	0
one hit wonders	1	0	0	0	1	0	0	1	0	0	1	1	10	2	1	0	1	0	0	1	1	1	1	0	0	1	0	3	1	1	0	0	0	0	1	0	3	0	3	0	0	0	0	1	0	0	0	1	0	0	5	3	1	0	0	0	0	0	0	0	1	1	0	0	3	2	0	0	0	0	2	0	0	1	2	0	2	2	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	1	0	1	0	1	1	2	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	3	0	0	0	0	0	1	0	0	7	1	1	0	1	0	2	0	0	1	2	0	0	1	2	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	1	1	0	0	3	0	0	0	0	0	2	0	0	0	1	0	1	0	0	2	0	0	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	2	1	0	0	2	0	0	0	0	16	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	9	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0
club D	2	0	4	3	25	2	2	8	6	28	0	0	14	3	7	7	1	0	5	0	1	2	10	4	1	12	1	2	2	7	2	1	3	0	0	1	1	7	1	9	44	1	0	5	1	0	1	5	4	2	0	3	1	3	0	5	0	4	0	1	3	4	4	0	0	2	1	0	4	6	0	1	5	0	0	13	0	4	6	1	2	0	1	1	2	2	4	0	0	0	0	0	2	47	4	4	2	6	0	1	1	2	0	0	2	3	2	0	2	0	0	1	12	2	1	0	0	2	3	1	0	0	6	0	0	2	30	2	1	1	1	2	1	21	4	6	3	0	0	3	1	0	3	0	10	0	7	0	1	6	2	1	0	1	3	7	1	0	1	2	2	11	1	4	0	0	1	0	3	2	2	0	3	0	2	6	1	0	0	0	2	4	2	1	1	5	1	2	0	14	0	1	10	4	0	4	1	1	0	4	0	1	4	1	3	2	3	4	2	0	0	1	1	1	5	0	5	1	0	0	2	0	0	7	1	0	2	1	2	2	4	1	0	0	0	1	1	1	3	0	0	5	6	0	1	0	2	0	0	2	1	1	1	1	0	0	0	1	0	5	5	1	1	0	0	2	0	4	2	3	0	0	0	1	0	1	1	4	1	2	1	0	1	0	2	6	0	0	6	0	4	3	0	0	0	1	0	0	1	1	2	2	4	1	3	43	0	10	0	2	2	1	1	1	1	0	2	45	4	1	1	2	0	1	0	0	0	0	6	1	1	5	3	0	1	3	0	0	5	1	0	1	1	5	0	0	1	0	1	0	7	5	0	0	1	0	21	1	5	1	0	0	2	1	5	0	0	1	1	0	0	1	1	6	0	0	0	2	0	0	10	0	22	2	3	40	0	0	0	1	7	1	2	3	0	3	0	1	2	4	0	0	0	1	1	3	0	2	1	3	0	3	0	0	0	0	27	8	0	0	0	2	2	0	4	0	9	4	0	6	1	0	0	1	1	0	0	9	0	5	0	3	0	1	1	2	1	0	0	0	0	0	0	0	0	3	0	0	0	23	0	0	0	1	0	0	2	4	1	0	8	0	0	1	0	1	23	1	4	13	0	0	1	0	4	0	2	0	1	2	1	0	2	0	1	0	1	0	2	1
Rothenberger~Palooza	0	1	0	1	0	1	1	0	2	2	1	1	1	0	0	0	1	0	0	1	0	3	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	97	0	2	0	0	1	0	1	0	1	0	3	1	0	0	3	0	2	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	0	0	2	0	0	0	1	0	0	0	3	1	0	3	0	0	1	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	4	2	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Jarrod Gecek	1	3	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	8	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
